title,lable
16％顺丰3号(氯?灭)乳油2000一3000倍液,newNode
柑桔臀纹粉蚧,newNode
47%加瑞农可湿性粉剂,newNode
20％甲氰菊酪乳油2000倍液,newNode
眼斑病,newNode
茶细蚧,newNode
Corticiumcentrifugum(L&eacute;v.)Bers.,newNode
麻叶,newNode
10％吡虫琳可湿性粉剂2500倍液,newNode
12．5％速保利可湿性粉剂2000倍液,newNode
山东淄博,newNode
水生作物,newNode
东接国境线,newNode
放牛小,newNode
1：1：20倍式波尔多液,newNode
捻翅虫,newNode
辣椒疫霉,newNode
野生植物制成土农药,newNode
35%恶霉灵胶悬剂200-250倍液,newNode
双效微肥,newNode
全国各大豆产区,newNode
高粱天社娥,newNode
4．5％甲敌粉剂,newNode
舞毒蛾黑瘤姬蜂,newNode
0．4％一0．5％的矿物油乳剂,newNode
甜菜夜蛾,newNode
50％对硫磷乳油500ml,newNode
红麻小造桥虫,newNode
中下部叶片,newNode
小枝,newNode
谷斑皮囊,newNode
3%吠哺丹颗粒剂,newNode
90％杀虫单原粉,newNode
A.insularus,newNode
高粱长蝽象,newNode
白斑柱隔孢,newNode
3%万强颗粒剂200g,newNode
槐角(果实),newNode
白腐病,newNode
嫩稍,newNode
F.moniliformeSheld.,newNode
0．1％功夫颗粒剂,newNode
桑红蜘蛛,newNode
50％马拉硫磷乳油10oo倍液,newNode
50％杀螟松乳油1200倍液,newNode
豌豆锈病,newNode
0.5%的硫酸锰,newNode
黄疽,newNode
充分腐熟有机肥,newNode
蚕豆赤斑病,newNode
碎玉米,newNode
导管束黑化病,newNode
HELMINTHOSPORIUMSATIOUMPammeleta1.,newNode
带果实的总苞,newNode
粟(谷子)黑鞘病,newNode
Eutamiassibiricus(Laxmann),newNode
葱带蓟马,newNode
仙客来,newNode
仓鼠科,newNode
橡胶,newNode
水蝇科,newNode
茶尺蠖绒茧蜂,newNode
AphelenchoidesbessyiChristie,newNode
72％农用链霉素可溶性粉剂4000倍液,newNode
20％好年冬乳油防治伏蚜1000倍液,newNode
Tetraneuraulmi(Linnaeus),newNode
0．1％磷酸三钠液,newNode
霜霉病,newNode
药用植物白芍疫病,newNode
高效氟氯氰菊酯乳油1000倍液,newNode
