Entity,relation,Newnode
东南大黑鳃金龟,学名,HolotrichiasauteriMoser
东南大黑鳃金龟,属目,鞘翅目
东南大黑鳃金龟,属科,鳃金龟科
东南大黑鳃金龟,别名,华南大黑鳃金龟
东南大黑鳃金龟,分布区域,广东
东南大黑鳃金龟,分布区域,贵州
东南大黑鳃金龟,分布区域,浙江
东南大黑鳃金龟,分布区域,江西
东南大黑鳃金龟,分布区域,福建
东南大黑鳃金龟,分布区域,台湾
东南大黑鳃金龟,寄主,花生
东南大黑鳃金龟,寄主,甘薯
东南大黑鳃金龟,寄主,大田作物
东南大黑鳃金龟,寄主,苗木
东南大黑鳃金龟,防治药物,碳酸氢铵
东南大黑鳃金龟,防治药物,腐植酸铵
东南大黑鳃金龟,防治药物,氨水
东南大黑鳃金龟,防治药物,氨化过磷酸钙
东南大黑鳃金龟,防治药物,50%辛硫磷乳油1000倍液
东南大黑鳃金龟,防治药物,25%爱卡士乳油1000倍液
东南大黑鳃金龟,防治药物,40%乐果乳油1000倍液
东南大黑鳃金龟,防治药物,30%敌百虫乳油500倍液
东南大黑鳃金龟,防治药物,80%敌百虫可溶性粉剂1000倍液
东方行军蚁,学名,DoxrylusorientalisWestwood
东方行军蚁,属目,膜翅目
东方行军蚁,属科,蚁科
东方行军蚁,别名,东方食植矛蚁
东方行军蚁,别名,黄蚂蚁
东方行军蚁,别名,黄丝蚁
东方行军蚁,别名,黄丝蚂
东方行军蚁,分布区域,云南
东方行军蚁,分布区域,贵州
东方行军蚁,分布区域,湖南
东方行军蚁,分布区域,江西
东方行军蚁,分布区域,福建
东方行军蚁,寄主,萝卜
东方行军蚁,寄主,甘蓝
东方行军蚁,寄主,苔菜
东方行军蚁,寄主,芥菜
东方行军蚁,寄主,茄子
东方行军蚁,寄主,辣椒
东方行军蚁,寄主,西红柿
东方行军蚁,寄主,马铃薯
东方行军蚁,寄主,四季豆
东方行军蚁,寄主,豇豆
东方行军蚁,寄主,芫荽(胡荽)
东方行军蚁,寄主,莴苣
东方行军蚁,寄主,西瓜
东方行军蚁,寄主,凉薯
东方行军蚁,寄主,甘薯
东方行军蚁,寄主,小飞蓬
东方行军蚁,寄主,香丝草
东方行军蚁,为害部位,块茎
东方行军蚁,为害部位,块根
东方行军蚁,防治药物,25％喳硫磷乳油1500倍液
东方行军蚁,防治药物,“灭蜂螂(甲由)蚂蚁药”
东方行军蚁,防治方法相同,蜂螂
东方行军蚁,防治药物,90％晶体敌百虫
东方行军蚁,防治药物,石灰
二星蝽,学名,Eysacorisguttiger(Thunb.)
二星蝽,属目,半翅目
二星蝽,属科,蝽科
二星蝽,异名,Stolliaguttiger(Thunberg)
二星蝽,分布区域,黑龙江
二星蝽,分布区域,台湾
二星蝽,分布区域,海南
二星蝽,分布区域,广东
二星蝽,分布区域,广西
二星蝽,分布区域,云南
二星蝽,分布区域,东临滨海
二星蝽,分布区域,内蒙古
二星蝽,分布区域,宁夏
二星蝽,分布区域,甘肃
二星蝽,分布区域,四川
二星蝽,分布区域,西藏
二星蝽,寄主,麦类
二星蝽,寄主,水稻
二星蝽,寄主,棉花
二星蝽,寄主,大豆
二星蝽,寄主,胡麻
二星蝽,寄主,高粱
二星蝽,寄主,玉米
二星蝽,寄主,甘薯
二星蝽,寄主,茄子
二星蝽,寄主,无花果
二星蝽,为害部位,茎秆
二星蝽,为害部位,叶穗部
二星蝽,防治药物,20％灭多威乳油1500倍液
亚麻、胡麻斑点病,别名,斑枯病
亚麻、胡麻斑点病,为害部位,任何部位
亚麻、胡麻斑点病,病原学名,Septorialinicola(Speg.)Garassini
亚麻、胡麻斑点病,病原中文名,亚麻生壳针孢
亚麻、胡麻斑点病,病原属性,半知菌亚门真菌
亚麻、胡麻斑点病,防治药物,80%炭疽福美可湿性粉剂
亚麻、胡麻斑点病,防治药物,40%拌种双可湿性粉剂
亚麻、胡麻斑点病,防治药物,40%多福混剂(多苗灵+福美双各半量)
亚麻、胡麻斑点病,防治药物,40%多福混剂800倍液
亚麻、胡麻斑点病,防治药物,80%炭疽福美1000倍液
亚麻、胡麻斑点病,防治药物,70%代森锰锌800倍液
亚麻、胡麻斑点病,防治药物,50%多菌灵
亚麻、胡麻斑点病,防治药物,70%甲基托布津1000倍液
亚麻、胡麻枯萎病,为害部位,幼茎
亚麻、胡麻枯萎病,为害部位,叶片
亚麻、胡麻枯萎病,病原学名,Fusariumoxysporumf.sp.lini(Bolley)SnyderetHansers
亚麻、胡麻枯萎病,病原中文名,亚麻镰孢
亚麻、胡麻枯萎病,病原属性,半知菌亚门真菌
亚麻、胡麻枯萎病,防治药物,15%粉锈宁可湿性粉剂
亚麻、胡麻枯萎病,防治药物,25%多菌灵可湿性粉剂
亚麻、胡麻枯萎病,防治药物,40%s福美双粉剂
亚麻、胡麻枯萎病,防治药物,酵素菌沤制的堆肥
亚麻、胡麻枯萎病,防治药物,磷肥
亚麻、胡麻白粉病,为害部位,叶片
亚麻、胡麻白粉病,为害部位,茎秆
亚麻、胡麻白粉病,病原学名,OidiumliniSkoric
亚麻、胡麻白粉病,病原中文名,亚麻粉孢
亚麻、胡麻白粉病,病原属性,半知菌亚门真菌
亚麻、胡麻白粉病,防治药物,50%甲基硫菌灵(甲基托布津)可湿性粉剂800―10000倍液
亚麻、胡麻白粉病,防治药物,50%苯菌灵可湿性粉剂1500倍液
亚麻、胡麻白粉病,防治药物,20%三唑酮乳油2000倍液
亚麻、胡麻白粉病,防治药物,12%%三唑醇可湿性粉剂2000倍液
亚麻、胡麻立枯病,为害部位,茎基部
亚麻、胡麻立枯病,病原学名,PHizoctoniasolaniKuhn
亚麻、胡麻立枯病,病原中文名,立枯丝核菌
亚麻、胡麻立枯病,病原属性,半知菌亚门真菌
亚麻、胡麻立枯病,防治药物,40%五氯硝基苯
亚麻、胡麻立枯病,防治药物,40%的敌菌酮
亚麻、胡麻锈病,为害部位,叶片
亚麻、胡麻锈病,为害部位,蒴果
亚麻、胡麻锈病,病原学名,Melampsoralini(Ehrenb．)Lév．
亚麻、胡麻锈病,病原中文名,亚麻栅锈菌
亚麻、胡麻锈病,病原属性,担子菌亚门真菌
亚麻、胡麻锈病,防治药物,20%三唑酮(粉锈宁)乳油2000倍液
亚麻、胡麻锈病,防治药物,20%萎锈灵乳油
亚麻、胡麻锈病,防治药物,可湿性粉剂500倍液
亚麻、胡麻锈病,防治药物,12．5%三唑醇(羟锈宁)可湿性粉剂1500～2000倍液
凹胫跳甲,学名,ChaetocnemahortensisGeoff
凹胫跳甲,属目,鞘翅目
凹胫跳甲,属科,叶甲科
凹胫跳甲,分布区域,黑龙江
凹胫跳甲,分布区域,内蒙古
凹胫跳甲,分布区域,浙江金华
凹胫跳甲,分布区域,江西临川
凹胫跳甲,分布区域,东邻国境线
凹胫跳甲,分布区域,陕西
凹胫跳甲,分布区域,甘肃
凹胫跳甲,分布区域,青海
凹胫跳甲,防治方法相同,粟凹胫跳甲
匍枝根霉病,别名,黑根霉病
匍枝根霉病,病原学名,Rhizopusstolonifer(Ehrenb.exFr.)Vuill.
匍枝根霉病,病原中文名,匍枝根霉
匍枝根霉病,病原中文名,黑根霉
匍枝根霉病,病原属性,接合菌亚门真菌
十四点负泥甲,学名,Criocerisquaturordecimpunctata(Scopoli)
十四点负泥甲,属目,鞘翅目
十四点负泥甲,属科,负泥虫科
十四点负泥甲,别名,芦笋叶甲
十四点负泥甲,别名,细颈叶甲
十四点负泥甲,分布区域,黑龙江
十四点负泥甲,分布区域,吉林
十四点负泥甲,分布区域,辽宁
十四点负泥甲,分布区域,内蒙古
十四点负泥甲,分布区域,北京
十四点负泥甲,分布区域,河北
十四点负泥甲,分布区域,山东
十四点负泥甲,分布区域,江苏
十四点负泥甲,分布区域,浙江
十四点负泥甲,分布区域,福建
十四点负泥甲,分布区域,陕西
十四点负泥甲,分布区域,广西
十四点负泥甲,寄主,小麦
十四点负泥甲,寄主,石刁柏
十四点负泥甲,寄主,文竹
十四点负泥甲,防治药物,20％灭扫利乳油2000倍液
十四点负泥甲,防治药物,50％抗蚜威超微可湿性粉剂2000倍液
十四点负泥甲,防治药物,40．7％乐斯本乳油1500倍液
十四点负泥甲,防治药物,50％辛硫磷乳油1500倍液
十四点负泥甲,防治药物,2．5％保得乳油2500倍液
华北蝼蛄,学名,GryllotalpaunispinaSaussure
华北蝼蛄,属目,直翅目
华北蝼蛄,属科,蝼蛄科
华北蝼蛄,别名,单刺蝼蛄
华北蝼蛄,别名,大蝼蛄
华北蝼蛄,别名,拉拉蛄
华北蝼蛄,别名,地拉蛄
华北蝼蛄,别名,土狗子
华北蝼蛄,别名,地狗子
华北蝼蛄,分布区域,纬32。以北地区
华北蝼蛄,寄主,禾谷类
华北蝼蛄,寄主,烟草
华北蝼蛄,寄主,甘薯
华北蝼蛄,寄主,瓜类
华北蝼蛄,寄主,蔬菜
华北蝼蛄,为害部位,种子
华北蝼蛄,为害部位,幼苗
华北蝼蛄,防治药物,充分腐熟有机肥
华北蝼蛄,防治方法相同,蛴螬
华北蝼蛄,防治药物,90％敌百虫的30倍水溶液
华北蝼蛄,防治药物,50％辛硫磷
华北蝼蛄,防治药物,50％对硫磷
华北蝼蛄,防治药物,20％甲基异柳磷乳油2000倍液
华北蝼蛄,防治药物,6％密达颗粒剂
南美斑潜蝇(拉美斑潜蝇),学名,Liriomyzahuidobrenisis(Blanchard)
南美斑潜蝇(拉美斑潜蝇),属目,双翅目
南美斑潜蝇(拉美斑潜蝇),属科,潜蝇科
南美斑潜蝇(拉美斑潜蝇),别名,斑潜蝇
南美斑潜蝇(拉美斑潜蝇),分布区域,新北区
南美斑潜蝇(拉美斑潜蝇),分布区域,北半球温带地区
南美斑潜蝇(拉美斑潜蝇),分布区域,云南昆明
南美斑潜蝇(拉美斑潜蝇),分布区域,云南
南美斑潜蝇(拉美斑潜蝇),分布区域,贵州
南美斑潜蝇(拉美斑潜蝇),分布区域,四川
南美斑潜蝇(拉美斑潜蝇),分布区域,青海
南美斑潜蝇(拉美斑潜蝇),分布区域,山东
南美斑潜蝇(拉美斑潜蝇),分布区域,河北
南美斑潜蝇(拉美斑潜蝇),分布区域,北京
南美斑潜蝇(拉美斑潜蝇),寄主,蚕豆
南美斑潜蝇(拉美斑潜蝇),寄主,豌豆
南美斑潜蝇(拉美斑潜蝇),寄主,小麦
南美斑潜蝇(拉美斑潜蝇),寄主,大麦
南美斑潜蝇(拉美斑潜蝇),寄主,芹菜
南美斑潜蝇(拉美斑潜蝇),寄主,烟草
南美斑潜蝇(拉美斑潜蝇),寄主,花卉
南美斑潜蝇(拉美斑潜蝇),寄主,蚕豆
南美斑潜蝇(拉美斑潜蝇),寄主,马铃薯
南美斑潜蝇(拉美斑潜蝇),寄主,小麦
南美斑潜蝇(拉美斑潜蝇),寄主,大麦
南美斑潜蝇(拉美斑潜蝇),寄主,豌豆
南美斑潜蝇(拉美斑潜蝇),寄主,油菜
南美斑潜蝇(拉美斑潜蝇),寄主,芹菜
南美斑潜蝇(拉美斑潜蝇),寄主,菠菜
南美斑潜蝇(拉美斑潜蝇),寄主,生菜
南美斑潜蝇(拉美斑潜蝇),寄主,黄瓜
南美斑潜蝇(拉美斑潜蝇),寄主,菊花
南美斑潜蝇(拉美斑潜蝇),寄主,鸡冠花
南美斑潜蝇(拉美斑潜蝇),寄主,香石竹
南美斑潜蝇(拉美斑潜蝇),寄主,药用植物
南美斑潜蝇(拉美斑潜蝇),寄主,烟草
南美斑潜蝇(拉美斑潜蝇),为害部位,叶片
南美斑潜蝇(拉美斑潜蝇),为害部位,中肋
南美斑潜蝇(拉美斑潜蝇),为害部位,叶脉
南美斑潜蝇(拉美斑潜蝇),天敌,Diglyphusisaea(Walker)
南美斑潜蝇(拉美斑潜蝇),天敌,Pediobiusmit-sukurii(Ashmead)
南美斑潜蝇(拉美斑潜蝇),天敌,Opiussp．
南美斑潜蝇(拉美斑潜蝇),防治方法相同,美洲斑潜蝇
反枝苋,学名,AmaranthusretroflexusL．
反枝苋,属科,觅科一年生草本植物
反枝苋,别名,苋菜
反枝苋,别名,野苋菜
反枝苋,分布区域,东北
反枝苋,分布区域,华北
反枝苋,分布区域,西北
反枝苋,寄主,棉花
反枝苋,寄主,豆类
反枝苋,寄主,花生
反枝苋,寄主,瓜类
反枝苋,寄主,薯类
反枝苋,寄主,蔬菜
反枝苋,生长地,农田
反枝苋,生长地,路边
反枝苋,生长地,荒地
向日葵列当,别名,毒根草
向日葵列当,别名,兔子拐棍
向日葵列当,属科,列当科
向日葵列当,分布区域,河北
向日葵列当,分布区域,北京
